GEOID,NAME,variable,estimate,moe,label
33,New Hampshire,B01001_007,19530,270,Estimate!!Total!!Male!!18 and 19 years
34,New Jersey,B01001_007,116848,410,Estimate!!Total!!Male!!18 and 19 years
35,New Mexico,B01001_007,31438,605,Estimate!!Total!!Male!!18 and 19 years
36,New York,B01001_007,289732,839,Estimate!!Total!!Male!!18 and 19 years
37,North Carolina,B01001_007,138952,1146,Estimate!!Total!!Male!!18 and 19 years
38,North Dakota,B01001_007,11923,312,Estimate!!Total!!Male!!18 and 19 years
39,Ohio,B01001_007,171894,939,Estimate!!Total!!Male!!18 and 19 years
40,Oklahoma,B01001_007,57099,554,Estimate!!Total!!Male!!18 and 19 years
41,Oregon,B01001_007,52694,493,Estimate!!Total!!Male!!18 and 19 years
42,Pennsylvania,B01001_007,195819,866,Estimate!!Total!!Male!!18 and 19 years
44,Rhode Island,B01001_007,18249,158,Estimate!!Total!!Male!!18 and 19 years
45,South Carolina,B01001_007,71969,766,Estimate!!Total!!Male!!18 and 19 years
46,South Dakota,B01001_007,12492,482,Estimate!!Total!!Male!!18 and 19 years
47,Tennessee,B01001_007,88033,484,Estimate!!Total!!Male!!18 and 19 years
48,Texas,B01001_007,381937,1382,Estimate!!Total!!Male!!18 and 19 years
49,Utah,B01001_007,43904,439,Estimate!!Total!!Male!!18 and 19 years
50,Vermont,B01001_007,10996,158,Estimate!!Total!!Male!!18 and 19 years
51,Virginia,B01001_007,120615,1570,Estimate!!Total!!Male!!18 and 19 years
53,Washington,B01001_007,94684,502,Estimate!!Total!!Male!!18 and 19 years
54,West Virginia,B01001_007,26785,486,Estimate!!Total!!Male!!18 and 19 years
55,Wisconsin,B01001_007,83180,476,Estimate!!Total!!Male!!18 and 19 years
56,Wyoming,B01001_007,8514,323,Estimate!!Total!!Male!!18 and 19 years
72,Puerto Rico,B01001_007,59044,89,Estimate!!Total!!Male!!18 and 19 years
01,Alabama,B01001_008,37621,1517,Estimate!!Total!!Male!!20 years
02,Alaska,B01001_008,6585,599,Estimate!!Total!!Male!!20 years
04,Arizona,B01001_008,46566,1749,Estimate!!Total!!Male!!20 years
